id,student_id,teacher_id,juz,juz_hali,jadeed_surah_ayat,week_date,notes,created_at
00c3bc5f-1076-47af-b4c5-8be7c13bf78d,36dd4f6e-8a1c-4ec2-99c5-6b5b2dc5f394,341cd4f7-8e45-4a26-a570-77755a90a42c,"[{""value"":""30"",""marks"":""7""},{},{}]","{""type"":""pages"",""from"":""584"",""till"":""585"",""marks"":""8""}","{""type"":""no"",""wusoolJuz"":""30"",""wusoolSurah"":""78"",""wusoolAyah"":""40"",""wusoolPage"":""583""}",2026-08-05,,2026-08-05 12:22:11.916705+00
05ed5c2d-a497-4a4a-8d30-8d468d04cb39,39d4794c-a9bb-438d-b5a5-77ef030d0336,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""1"",""marks"":""9""}","{""from"":""1"",""till"":""5""}",,2026-08-01,juzhali 5juz 1 to 5,2026-08-01 12:32:36.861374+00
0838be5a-214e-4745-9938-6ec7cec08fe4,7df8c8ef-c6cb-471e-98dc-a1b39ea1327f,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""5"",""marks"":""4""}","{""type"":""juz"",""from"":""6"",""till"":""6""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المائدة"",""ayat"":""18""}",2026-08-01,108 to 110 juz hali 5juz majboot kariye,2026-08-01 12:21:03.007038+00
09c92a0b-0078-4926-b7de-95ddd61b604a,9dda1944-b1ca-4e37-a20d-0906edc48e79,341cd4f7-8e45-4a26-a570-77755a90a42c,"[{""value"":""30"",""marks"":""8""},{},{}]","{""type"":""pages"",""from"":""594"",""till"":""596"",""marks"":""7""}","{""type"":""surah_ayat"",""surah"":""89"",""ayat"":""10"",""page"":593}",2026-08-03,,2026-08-03 11:26:53.601426+00
14a8c0f0-f69e-47e7-ad2c-4e790ccec2ea,302af2cb-86c3-4463-b633-0d84a105c022,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""30"",""marks"":""8""}","{""type"":""surah"",""from"":""النبأ"",""till"":""عبس"",""marks"":""7""}",,2026-08-03,,2026-08-03 11:26:13.625798+00
17d25a53-4b88-4a11-b33c-91cc8bcf1c5c,209a7cc0-b3c1-4bcb-8e09-441984bc81ac,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30"",""marks"":""7""}","{""from"":""الانشقاق"",""type"":""surah"",""till"":""الناس"",""marks"":""7""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المطففين"",""ayat"":""24""}",2026-08-01,,2026-08-01 12:03:22.823751+00
1f66812e-abea-4ae0-a5bc-40d4516a78b0,0f23c938-cf37-41ad-8fd9-8fbd0ab9f133,341cd4f7-8e45-4a26-a570-77755a90a42c,,,"{""till"":"""",""type"":""surah_ayat"",""from"":"""",""surah"":""البروج"",""ayat"":""5ayat""}",2026-07-15,,2026-07-15 10:32:39.854515+00
1fae776a-4fe1-471f-ba99-fd9fd176e9ba,39d4794c-a9bb-438d-b5a5-77ef030d0336,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""1"",""marks"":""7""}","{""from"":""5"",""till"":""5"",""marks"":""7""}",,2026-08-04,,2026-08-04 16:33:47.726932+00
20619a22-28d4-47de-821f-8dc68617e2be,7df8c8ef-c6cb-471e-98dc-a1b39ea1327f,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""3"",""marks"":""5""}","{""type"":""juz"",""from"":""6"",""till"":""6"",""marks"":""5""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المائدة"",""ayat"":""23""}",2026-08-04,speedddd,2026-08-04 12:04:09.472409+00
22f7985e-d4f8-45fd-8eb6-ed02a93458ce,302af2cb-86c3-4463-b633-0d84a105c022,34396324-e7f3-4e96-b05a-e7e4defc89e8,"[{""value"":""30"",""marks"":""4""},{},{}]",,,2026-08-07,,2026-08-07 12:04:25.277048+00
24d658f9-4e9a-4335-be46-4c83cf6d1241,302af2cb-86c3-4463-b633-0d84a105c022,341cd4f7-8e45-4a26-a570-77755a90a42c,"{""value"":""30"",""marks"":""7""}",,,2026-08-01,"ek had lagan Hifz Behtr hifz ch toh bhi (Focus rakhi ne Tilawat karvu) ,Makharij ni tmareen ni ghani zarurat .  ",2026-08-01 12:21:35.325291+00
26559aea-7c8c-4bdf-9009-b8d02ba06e73,302af2cb-86c3-4463-b633-0d84a105c022,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""30"",""marks"":""6""}","{""from"":""30"",""till"":""30"",""marks"":""8""}",,2026-08-06,,2026-08-06 12:20:22.473065+00
2fa8521c-0fc1-4306-bba8-291fd6b2b1c9,21bf52b6-517f-4b7c-99db-befbdb7ac292,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30"",""marks"":""5""}","{""from"":""الواقعة"",""till"":"""",""type"":""surah"",""marks"":""7""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""القمر"",""ayat"":""17""}",2026-08-03,,2026-08-03 12:15:02.661457+00
3f516259-8c87-4b0e-817b-848eb49a58bf,209a7cc0-b3c1-4bcb-8e09-441984bc81ac,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30"",""marks"":""9""}","{""from"":""30"",""till"":""30"",""marks"":""4""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المطففين"",""ayat"":""26""}",2026-08-03,juzhali mutaffen,2026-08-03 12:16:26.044961+00
434670a2-e573-4fb1-a6a8-fbb3dc53a064,7d1a633e-2123-47b4-8267-ecf262857dc3,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30""}",,,2026-08-03,Surat Nasr tamree,2026-08-03 12:18:19.08224+00
4695f04e-11e2-447a-b1d1-2dd46ce69700,209a7cc0-b3c1-4bcb-8e09-441984bc81ac,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30"",""marks"":""5""}","{""from"":""30"",""till"":""30"",""marks"":""7""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":"""",""ayat"":""""}",2026-08-04,,2026-08-04 16:32:58.31405+00
48175f42-9190-4898-a555-8950f18e995c,7df8c8ef-c6cb-471e-98dc-a1b39ea1327f,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""1"",""marks"":""7""}","{""from"":""6"",""till"":""6"",""marks"":""6""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المائدة"",""ayat"":""21""}",2026-08-03,,2026-08-03 12:25:11.363875+00
