user_id,schedule_data,created_at,updated_at,last_updated_by,has_unseen_changes,teacher_updated_at,parent_viewed_at
0ff85c9a-e928-44c1-8d91-8e3467644e98,"{""_mode"":""surah-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:42"",""juzhali"":""Al-Qamar til Al-Qamar"",""murajah"":""Al-Jinn til Al-Mursalat""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:31"",""juzhali"":""Al-Qamar til Al-Qamar"",""murajah"":""Al-Mujadilah til As-Saff""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:31"",""juzhali"":"""",""murajah"":""Al-Mujadilah til As-Saff""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:33"",""juzhali"":""Al-Qamar til Al-Qamar"",""murajah"":""As-Saff til At-Tahrim""},""SATURDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:31"",""juzhali"":""Al-Qamar til Al-Qamar"",""murajah"":""Al-Balad til An-Nas""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:37"",""juzhali"":""Al-Qamar til Al-Qamar"",""murajah"":""Al-Mulk til Nuh""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""53:35"",""juzhali"":""Al-Qamar til Al-Qamar"",""murajah"":""Ar-Rahman til Al-Hadid""},""_editHistory"":{""SUNDAY_jadeed"":""2026-07-27T16:41:07.511Z"",""SUNDAY_murajah"":""2026-07-27T16:40:50.497Z"",""SATURDAY_murajah"":""2026-07-27T16:40:35.391Z""}}",2026-07-27 13:39:57.652128+00,2026-07-27 16:41:09.024+00,0ff85c9a-e928-44c1-8d91-8e3467644e98,false,2026-07-27 16:41:09.024+00,2026-07-30 05:52:46.521+00
1036b048-15dd-4ee0-b920-c3bca8899c18,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""_editHistory"":{}}",2026-07-27 16:32:34.240874+00,2026-07-27 16:32:34.061+00,1036b048-15dd-4ee0-b920-c3bca8899c18,true,2026-07-27 16:32:34.061+00,
21ac45e6-5fe0-4a92-8be1-32880f1873a1,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":""7"",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""_editHistory"":{""SATURDAY_juz1"":""2026-07-30T03:49:55.952Z""}}",2026-07-28 14:50:00.066974+00,2026-07-30 03:49:57.463+00,21ac45e6-5fe0-4a92-8be1-32880f1873a1,false,2026-07-28 14:49:59.725+00,2026-07-30 03:50:30.251+00
2a2d8675-74c5-415f-9f35-fe517de066e2,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":""30"",""juz2"":""7"",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""12:95"",""juzhali"":""236:245"",""murajah"":""""},""MONDAY"":{""juz1"":""4"",""juz2"":""9"",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""12:69"",""juzhali"":""233:242"",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":""NO"",""murajah"":""""},""TUESDAY"":{""juz1"":""5"",""juz2"":""8"",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""12:75"",""juzhali"":""234:243"",""murajah"":""""},""SATURDAY"":{""juz1"":""3"",""juz2"":""9"",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""12:63"",""juzhali"":""232:241"",""murajah"":""""},""THURSDAY"":{""juz1"":""6"",""juz2"":""8"",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""12:86"",""juzhali"":""235:244"",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""12:78"",""juzhali"":""NO"",""murajah"":""""},""_editHistory"":{""FRIDAY_juz1"":""2026-07-29T08:39:11.715Z"",""FRIDAY_juz2"":""2026-07-29T08:39:19.406Z"",""FRIDAY_jadeed"":""2026-07-29T08:39:27.442Z"",""THURSDAY_juz1"":""2026-07-29T08:38:42.835Z"",""THURSDAY_juz2"":""2026-07-29T08:38:50.345Z"",""FRIDAY_juzhali"":""2026-07-29T08:39:30.860Z"",""THURSDAY_jadeed"":""2026-07-29T08:38:59.202Z"",""THURSDAY_juzhali"":""2026-07-29T08:39:03.014Z""}}",2026-07-29 08:36:18.245139+00,2026-07-29 08:39:32.379+00,2a2d8675-74c5-415f-9f35-fe517de066e2,false,2026-07-29 08:39:32.379+00,2026-08-01 15:53:13.826+00
3d8b5888-cc7f-4f5a-bc89-5487419f807b,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":""4"",""juz2"":""14"",""juz3"":""8"",""juz4"":"""",""star"":"""",""jadeed"":""25:43"",""juzhali"":""353:362"",""murajah"":""""},""MONDAY"":{""juz1"":""1"",""juz2"":""11"",""juz3"":""5"",""juz4"":"""",""star"":"""",""jadeed"":""25:2"",""juzhali"":""349:358"",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":""NO"",""murajah"":""""},""TUESDAY"":{""juz1"":""2"",""juz2"":""12"",""juz3"":""6"",""juz4"":"""",""star"":"""",""jadeed"":""25:11"",""juzhali"":""350:359"",""murajah"":""""},""SATURDAY"":{""juz1"":""30"",""juz2"":""10"",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""24:61"",""juzhali"":""348:357"",""murajah"":""""},""THURSDAY"":{""juz1"":""3"",""juz2"":""13"",""juz3"":""7"",""juz4"":"""",""star"":"""",""jadeed"":""25:32"",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""25:20"",""juzhali"":""NO"",""murajah"":""""},""_editHistory"":{""FRIDAY_juz2"":""2026-07-28T17:26:49.585Z"",""FRIDAY_juz3"":""2026-07-28T17:26:53.502Z"",""FRIDAY_jadeed"":""2026-07-28T17:27:17.583Z"",""FRIDAY_juzhali"":""2026-07-28T17:27:20.735Z"",""SATURDAY_jadeed"":""2026-07-28T17:27:43.923Z"",""SATURDAY_juzhali"":""2026-07-28T17:27:47.388Z""}}",2026-07-28 17:17:45.368342+00,2026-07-28 17:27:48.898+00,3d8b5888-cc7f-4f5a-bc89-5487419f807b,true,2026-07-28 17:27:48.898+00,
48168a62-cfde-485d-a430-d1a543c38a61,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""_editHistory"":{""MONDAY_juz1"":""2026-07-29T13:25:26.957Z""}}",2026-07-29 13:25:24.739168+00,2026-07-29 13:25:28.463+00,,false,,2026-08-05 01:32:36.455+00
5365ff09-f5a6-4147-bf98-e7c8c2a342c0,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":""12"",""juz2"":""10"",""juz3"":""16"",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""MONDAY"":{""juz1"":""2"",""juz2"":""6"",""juz3"":""12"",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":""2"",""juz2"":""29"",""juz3"":""13"",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":""3"",""juz2"":""7"",""juz3"":""13"",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":""1"",""juz2"":""11"",""juz3"":""27"",""juz4"":"""",""star"":"""",""jadeed"":""16:15"",""juzhali"":"""",""murajah"":""""},""THURSDAY"":{""juz1"":""5"",""juz2"":""9"",""juz3"":""13"",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":""4"",""juz2"":""8"",""juz3"":""28"",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""_editHistory"":{""SUNDAY_juz1"":""2026-08-04T15:18:42.049Z""}}",2026-07-24 04:20:49.275045+00,2026-08-04 15:18:43.56+00,341cd4f7-8e45-4a26-a570-77755a90a42c,false,2026-08-04 15:18:43.56+00,2026-08-05 10:29:58.096+00
60d8b7e1-4d7f-465c-bd1d-0bb2d2b69073,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""_editHistory"":{}}",2026-07-29 12:30:28.227572+00,2026-07-29 12:30:27.946+00,60d8b7e1-4d7f-465c-bd1d-0bb2d2b69073,false,2026-07-29 12:30:27.946+00,2026-08-01 06:11:53.434+00
65f5c3f4-93f1-4cb6-8c1e-cd75643d6106,"{""_mode"":""surah-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":""Abasa til Al-Infitar"",""murajah"":""Ash-Sharh til Al-Buruj""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":""Al-Mutaffifin til Al-Inshiqaq"",""murajah"":""An-Nas til Al-Asr""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":""An-Naba til An-Nazi'at"",""murajah"":""At-Takathur til At-Tin""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":""NO"",""juzhali"":""Al-Mutaffifin til Al-Inshiqaq"",""murajah"":""An-Nas til Al-Asr""},""_editHistory"":{""SUNDAY_jadeed"":""2026-08-05T05:06:35.910Z"",""SATURDAY_jadeed"":""2026-08-05T05:05:50.620Z"",""SATURDAY_juzhali"":""2026-08-05T05:06:14.021Z"",""SATURDAY_murajah"":""2026-08-05T05:05:48.872Z""}}",2026-08-04 11:58:41.559595+00,2026-08-05 05:06:37.419+00,a9bdb9ab-7636-4106-97e1-fe4a23c8449e,false,2026-08-05 05:06:37.419+00,
66309469-07eb-43b1-ae5b-d65a18c25a95,"{""_mode"":""juz-wise"",""FRIDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""MONDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SUNDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""TUESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""SATURDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""THURSDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""WEDNESDAY"":{""juz1"":"""",""juz2"":"""",""juz3"":"""",""juz4"":"""",""star"":"""",""jadeed"":"""",""juzhali"":"""",""murajah"":""""},""_editHistory"":{}}",2026-08-05 16:17:14.447151+00,2026-08-05 16:17:13.944+00,a9bdb9ab-7636-4106-97e1-fe4a23c8449e,true,2026-08-05 16:17:13.944+00,
